1	14	41	23	
3	12	12	41	
4	6	7	8	
5	2	3	4	
6	4	5	1	
1	14	41	23	
3	12	12	41	
4	6	7	8	
5	2	3	4	
6	4	5	1	
1	14	41	23	
3	12	12	41	
4	6	7	8	
5	2	3	4	
6	4	5	1	
1	14	41	23	
3	12	12	41	
4	6	7	8	
5	2	3	4	
6	4	5	1	
1	14	41	23	
3	12	12	41	
4	6	7	8	
5	2	3	4	
6	4	5	1	
1	14	41	23	
5	2	3	4	
4	6	7	8	
6	4	5	1	
3	12	12	41	
1	14	41	23	
3	12	12	41	
4	6	7	8	
5	2	3	4	
6	4	5	1	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
1	2	3	4	
5	6	7	8	
9	10	11	12	
13	14	15	16	
